ID,LAND,TID,SITC,INDHOLD
1632,Jamaica,2019,Maskiner og transportmidler,29
1633,Jamaica,2020,Maskiner og transportmidler,272
1634,Jamaica,2021,Maskiner og transportmidler,379
1646,Japan,2018,Maskiner og transportmidler,1866896
1647,Japan,2019,Maskiner og transportmidler,1367258
1648,Japan,2020,Maskiner og transportmidler,1257316
1649,Japan,2021,Maskiner og transportmidler,1402095
1661,Jordan,2018,Maskiner og transportmidler,632
1662,Jordan,2019,Maskiner og transportmidler,563
1663,Jordan,2020,Maskiner og transportmidler,429
1664,Jordan,2021,Maskiner og transportmidler,467
1676,Jugoslavien,2018,Maskiner og transportmidler,0
1677,Jugoslavien,2019,Maskiner og transportmidler,0
1678,Jugoslavien,2020,Maskiner og transportmidler,0
1679,Jugoslavien,2021,Maskiner og transportmidler,0
1691,Juleøen,2018,Maskiner og transportmidler,0
1692,Juleøen,2019,Maskiner og transportmidler,0
1693,Juleøen,2020,Maskiner og transportmidler,0
1694,Juleøen,2021,Maskiner og transportmidler,0
1706,Kanariske Øer,2018,Maskiner og transportmidler,0
1707,Kanariske Øer,2019,Maskiner og transportmidler,0
1708,Kanariske Øer,2020,Maskiner og transportmidler,0
1709,Kanariske Øer,2021,Maskiner og transportmidler,0
1721,Kap Verde,2018,Maskiner og transportmidler,116
1722,Kap Verde,2019,Maskiner og transportmidler,12
1723,Kap Verde,2020,Maskiner og transportmidler,35
1724,Kap Verde,2021,Maskiner og transportmidler,600
1736,Kasakhstan,2018,Maskiner og transportmidler,1569
1737,Kasakhstan,2019,Maskiner og transportmidler,152
1738,Kasakhstan,2020,Maskiner og transportmidler,3947
1739,Kasakhstan,2021,Maskiner og transportmidler,650
1751,Kenya,2018,Maskiner og transportmidler,227
1752,Kenya,2019,Maskiner og transportmidler,987
1753,Kenya,2020,Maskiner og transportmidler,526
1754,Kenya,2021,Maskiner og transportmidler,3772
1766,Kina,2018,Maskiner og transportmidler,14222252
1767,Kina,2019,Maskiner og transportmidler,15777516
1768,Kina,2020,Maskiner og transportmidler,14937186
1769,Kina,2021,Maskiner og transportmidler,19509516
1781,Kirgisistan,2018,Maskiner og transportmidler,0
1782,Kirgisistan,2019,Maskiner og transportmidler,4
1783,Kirgisistan,2020,Maskiner og transportmidler,4
1784,Kirgisistan,2021,Maskiner og transportmidler,69
1796,Kosovo,2018,Maskiner og transportmidler,28
1797,Kosovo,2019,Maskiner og transportmidler,195
1798,Kosovo,2020,Maskiner og transportmidler,61
1799,Kosovo,2021,Maskiner og transportmidler,1221
1811,Kroatien,2018,Maskiner og transportmidler,104286
1812,Kroatien,2019,Maskiner og transportmidler,74692
1813,Kroatien,2020,Maskiner og transportmidler,100174
1814,Kroatien,2021,Maskiner og transportmidler,119920
1826,Kuwait,2018,Maskiner og transportmidler,785
1827,Kuwait,2019,Maskiner og transportmidler,226
1828,Kuwait,2020,Maskiner og transportmidler,23
1829,Kuwait,2021,Maskiner og transportmidler,669
1841,Laos,2018,Maskiner og transportmidler,5
1842,Laos,2019,Maskiner og transportmidler,9
1843,Laos,2020,Maskiner og transportmidler,50
1844,Laos,2021,Maskiner og transportmidler,21
1856,Lesotho,2018,Maskiner og transportmidler,0
1857,Lesotho,2019,Maskiner og transportmidler,0
1858,Lesotho,2020,Maskiner og transportmidler,0
1859,Lesotho,2021,Maskiner og transportmidler,9
1871,Letland,2018,Maskiner og transportmidler,444576
1872,Letland,2019,Maskiner og transportmidler,509697
1873,Letland,2020,Maskiner og transportmidler,586076
1874,Letland,2021,Maskiner og transportmidler,647999
1886,Libanon,2018,Maskiner og transportmidler,1894
1887,Libanon,2019,Maskiner og transportmidler,1590
1888,Libanon,2020,Maskiner og transportmidler,381
1889,Libanon,2021,Maskiner og transportmidler,919
1901,Liberia,2018,Maskiner og transportmidler,131
1902,Liberia,2019,Maskiner og transportmidler,201514
1903,Liberia,2020,Maskiner og transportmidler,5704
1904,Liberia,2021,Maskiner og transportmidler,611733
1916,Libyen,2018,Maskiner og transportmidler,125
1917,Libyen,2019,Maskiner og transportmidler,156
1918,Libyen,2020,Maskiner og transportmidler,98928
1919,Libyen,2021,Maskiner og transportmidler,35
1931,Liechtenstein,2018,Maskiner og transportmidler,8538
1932,Liechtenstein,2019,Maskiner og transportmidler,11889
1933,Liechtenstein,2020,Maskiner og transportmidler,15045
1934,Liechtenstein,2021,Maskiner og transportmidler,11626
