ID,LAND,TID,SITC,INDHOLD
392,Heard Island and  McDonald Islands,2021,Diverse fremstillede varer,0
393,Honduras,2018,Diverse fremstillede varer,199
394,Honduras,2019,Diverse fremstillede varer,196
395,Honduras,2020,Diverse fremstillede varer,0
396,Honduras,2021,Diverse fremstillede varer,104
397,Hongkong,2018,Diverse fremstillede varer,18884
398,Hongkong,2019,Diverse fremstillede varer,18321
399,Hongkong,2020,Diverse fremstillede varer,31915
400,Hongkong,2021,Diverse fremstillede varer,88189
401,India,2018,Diverse fremstillede varer,696022
402,India,2019,Diverse fremstillede varer,698803
403,India,2020,Diverse fremstillede varer,632554
404,India,2021,Diverse fremstillede varer,990045
405,Indonesia,2018,Diverse fremstillede varer,157825
406,Indonesia,2019,Diverse fremstillede varer,163556
407,Indonesia,2020,Diverse fremstillede varer,183083
408,Indonesia,2021,Diverse fremstillede varer,260659
409,Iraq,2018,Diverse fremstillede varer,0
410,Iraq,2019,Diverse fremstillede varer,2
411,Iraq,2020,Diverse fremstillede varer,0
412,Iraq,2021,Diverse fremstillede varer,69
413,Iran,2018,Diverse fremstillede varer,31296
414,Iran,2019,Diverse fremstillede varer,17445
415,Iran,2020,Diverse fremstillede varer,13007
416,Iran,2021,Diverse fremstillede varer,19282
417,Ireland,2018,Diverse fremstillede varer,36608
418,Ireland,2019,Diverse fremstillede varer,39529
419,Ireland,2020,Diverse fremstillede varer,34498
420,Ireland,2021,Diverse fremstillede varer,35441
421,Island,2018,Diverse fremstillede varer,2299
422,Iceland,2019,Diverse fremstillede varer,2783
423,Iceland,2020,Diverse fremstillede varer,2196
424,Iceland,2021,Diverse fremstillede varer,3927
425,Palestine,2018,Diverse fremstillede varer,17257
426,Palestine,2019,Diverse fremstillede varer,15393
427,Palestine,2020,Diverse fremstillede varer,24946
428,Palestine,2021,Diverse fremstillede varer,33504
429,Italy,2018,Diverse fremstillede varer,1019710
430,Italy,2019,Diverse fremstillede varer,989648
431,Italy,2020,Diverse fremstillede varer,1053499
432,Italy,2021,Diverse fremstillede varer,1307204
433,Jamaica,2018,Diverse fremstillede varer,0
434,Jamaica,2019,Diverse fremstillede varer,2
